date | value

2022-01-01 1000
2022-01-01|
| 1000
2022-01-01 |
|
2022-01-01|abc
2022-01-01 | 1.2.3
2022-01-01 | 1jjj

2022-13-01 | 10
2022-00-01 | 10
2022-01-32 | 10
2022-01-00 | 10
2022-02-29 | 10
2019-02-29 | 10
2022-01-01 | 1002
2022-1-01 | 10
2022-01-1 | 10
20a2-01-01 | 10
2022-0a-01 | 10
2022-01-0a | 10
2022/01/01 | 10
20220101 | 10

2022-01-01 | -1
2022-01-01 | 1001
2022-01-01 | 2147483648
2022-01-01 | -2147483649

2008-12-31 | 10
2030-01-01 | 10               

2022-01-01   |   10a
2022-01-01   |   10a asdad

2011-01-03 | 1
2012-02-29 | 1
2022-01-01 |        10
